,MDI_mean,MDA_mean,SFI_mean,MDI_rank,MDA_rank,SFI_rank,avg_rank,kept
amihud_illiquidity,0.1144,0.0033,-0.6678,1,2,2,1.6667,True
log_dollar_volume,0.0977,0.0015,-0.6635,3,5,1,3.0,True
fracdiff,0.086,0.0001,-0.6695,5,10,3,6.0,True
ret_20d,0.0628,0.0011,-0.6749,8,6,5,6.3333,True
volume_ratio,0.0853,0.0022,-0.6818,6,4,10,6.6667,True
roll_spread,0.1054,-0.0001,-0.6761,2,11,7,6.6667,True
ret_5d,0.054,0.0005,-0.6718,9,7,4,6.6667,True
ret_10d,0.0475,0.0042,-0.6911,10,1,12,7.6667,True
shannon_entropy,0.0396,0.0024,-0.6762,12,3,8,7.6667,True
vol_50d,0.0949,0.0001,-0.6988,4,9,15,9.3333,True
lempel_ziv_complexity,0.0,-0.0001,-0.6759,17,12,6,11.6667,True
vol_20d,0.0668,-0.0035,-0.6947,7,17,13,12.3333,True
corwin_schultz_spread,0.0044,-0.0004,-0.6766,16,13,9,12.6667,True
rsi_14,0.0393,0.0004,-0.7129,13,8,17,12.6667,True
ret_60d,0.0467,-0.001,-0.6852,11,16,11,12.6667,True
momentum_12_1,0.0311,-0.0007,-0.6992,14,14,16,14.6667,False
bekker_parkinson_vol,0.0242,-0.0007,-0.6964,15,15,14,14.6667,False
