path_idx,path_pairs,n_events,sr,ann_return,max_dd
0,"((0, 1), (2, 3), (4, 5))",11890,0.5874,0.0498,0.1661
1,"((0, 1), (2, 4), (3, 5))",11890,0.2917,0.0291,0.2711
2,"((0, 1), (2, 5), (3, 4))",11890,0.4239,0.0351,0.2146
3,"((0, 2), (1, 3), (4, 5))",11890,0.3966,0.0357,0.1984
4,"((0, 2), (1, 4), (3, 5))",11890,0.3112,0.0314,0.2902
5,"((0, 2), (1, 5), (3, 4))",11890,0.5909,0.0482,0.1693
6,"((0, 3), (1, 2), (4, 5))",11890,0.6844,0.0626,0.1661
7,"((0, 3), (1, 4), (2, 5))",11890,0.4431,0.0383,0.2161
8,"((0, 3), (1, 5), (2, 4))",11890,0.5847,0.0491,0.1515
9,"((0, 4), (1, 2), (3, 5))",11890,0.5013,0.0493,0.2773
10,"((0, 4), (1, 3), (2, 5))",11890,0.363,0.0295,0.2421
11,"((0, 4), (1, 5), (2, 3))",11890,0.7675,0.0569,0.1313
12,"((0, 5), (1, 2), (3, 4))",11890,0.6795,0.0565,0.1542
13,"((0, 5), (1, 3), (2, 4))",11890,0.3654,0.0307,0.1763
14,"((0, 5), (1, 4), (2, 3))",11890,0.5904,0.0472,0.1414
