,MDI_mean,MDA_mean,SFI_mean,MDI_rank,MDA_rank,SFI_rank,avg_rank,is_alpha
spy_20d_ret,0.09455,0.00019,-0.69405,2,9,11,7.33333,False
ret_60d,0.03314,0.00015,-0.69372,7,11,4,7.33333,False
rsi_14,0.02914,0.00034,-0.6942,9,3,16,9.33333,False
ret_10d,0.02398,0.00061,-0.69428,11,2,21,11.33333,False
ret_20d,0.01873,0.00012,-0.6941,13,13,14,13.33333,False
fracdiff,0.01094,0.00016,-0.6927,29,10,1,13.33333,False
corwin_schultz_spread,0.01855,9e-05,-0.69408,14,15,13,14.0,False
ret_5d,0.05461,0.00021,-0.69474,3,6,36,15.0,False
alpha011,0.01254,8e-05,-0.69357,24,19,3,15.33333,True
alpha034,0.00931,9e-05,-0.69331,33,16,2,17.0,True
